filename,language,scenario,source,provider,method,wer_before,wer_after,wer_delta,cer_before,cer_after,cer_delta,avg_wer_retranscribed,retranscription_delta,correction_effect,avg_flagged,total_words,threshold,num_runs
indicvoices_ka_05.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.9474,0.9474,0.0,0.458,0.458,0.0,,,,,,,
indicvoices_ka_01.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.9375,0.75,-0.1875,0.4286,0.3776,-0.051,,,,,,,
indicvoices_ka_02.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.9355,0.9032,-0.0323,0.6447,0.6404,-0.0043,,,,,,,
indicvoices_ka_03.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.9211,0.8947,-0.0264,0.8185,0.8147,-0.0038,,,,,,,
indicvoices_ka_04.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.8889,0.6667,-0.2222,0.2,0.1167,-0.0833,,,,,,,
indicvoices_ka_06.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.875,0.375,-0.5,0.2836,0.1045,-0.1791,,,,,,,
indicvoices_ka_07.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.7778,0.6667,-0.1111,0.3117,0.2338,-0.0779,,,,,,,
debit-card-verification-1-Kannada.m4a,kn-en,S4,personal,whisper,full_transcript_llm,0.7619,0.5714,-0.1905,0.3197,0.2313,-0.0884,,,,,,,
loan-enquiry-1-Kannada.m4a,kn-en,S4,personal,whisper,full_transcript_llm,0.65,0.55,-0.1,0.252,0.2033,-0.0487,,,,,,,
indicvoices_hi_05.wav,hi,S1,indicvoices,whisper,full_transcript_llm,0.5,0.0,-0.5,0.0476,0.0,-0.0476,,,,,,,
credit-card-application-1-hinglish.m4a,hi-en,S3,personal,whisper,full_transcript_llm,0.4545,0.2727,-0.1818,0.157,0.0826,-0.0744,,,,,,,
indicvoices_hi_06.wav,hi,S1,indicvoices,whisper,full_transcript_llm,0.4384,0.3699,-0.0685,0.3286,0.3,-0.0286,,,,,,,
indicvoices_hi_04.wav,hi,S1,indicvoices,whisper,full_transcript_llm,0.3667,0.2167,-0.15,0.1188,0.0651,-0.0537,,,,,,,
indicvoices_hi_07.wav,hi,S1,indicvoices,whisper,full_transcript_llm,0.3571,0.1429,-0.2142,0.1774,0.0484,-0.129,,,,,,,
transaction-check-1-hinglish.m4a,hi-en,S3,personal,whisper,full_transcript_llm,0.3448,0.2069,-0.1379,0.1871,0.2878,0.1007,,,,,,,
indicvoices_hi_02.wav,hi,S1,indicvoices,whisper,full_transcript_llm,0.1739,0.087,-0.0869,0.0463,0.0278,-0.0185,,,,,,,
gpay-fraud-1-hinglish.m4a,hi-en,S3,personal,whisper,full_transcript_llm,0.125,0.0833,-0.0417,0.0442,0.0088,-0.0354,,,,,,,
