filename,language,scenario,source,provider,method,wer_before,wer_after,wer_delta,cer_before,cer_after,cer_delta,avg_wer_retranscribed,retranscription_delta,correction_effect,avg_flagged,total_words,threshold,num_runs
indicvoices_ka_07.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.1111,0.2222,0.1111,0.013,0.026,0.013,,,,,,,
indicvoices_hi_02.wav,hi,S1,indicvoices,sarvam,full_transcript_llm,0.087,0.087,0.0,0.0278,0.0278,0.0,,,,,,,
loan-enquiry-1-Kannada.m4a,kn-en,S4,personal,elevenlabs,full_transcript_fallback,0.8,0.8,0.0,0.5447,0.5447,0.0,0.8,0.0,0.0,1.0,20,-0.5,3
indicvoices_ka_03.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.7632,0.7895,0.0263,0.4324,0.4504,0.018,0.7895,0.0263,0.0,1.7,52,-0.5,3
debit-card-verification-1-Kannada.m4a,kn-en,S4,personal,elevenlabs,full_transcript_fallback,0.7619,0.7778,0.0159,0.4422,0.4377,-0.0045,0.7778,0.0159,0.0,0.3,22,-0.5,3
suspicious-transaction-1-Kannada.m4a,kn-en,S4,personal,elevenlabs,full_transcript_fallback,0.7297,0.7297,-0.0,0.6556,0.6556,0.0,0.7297,-0.0,0.0,0.3,37,-0.5,3
credit-card-application-1-hinglish.m4a,hi-en,S3,personal,elevenlabs,full_transcript_fallback,0.5909,0.5455,-0.0454,0.6694,0.6612,-0.0082,0.5909,0.0,-0.0454,0.0,24,-0.5,3
indicvoices_ka_04.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.5556,0.4815,-0.0741,0.2167,0.1167,-0.1,0.4815,-0.0741,0.0,0.3,9,-0.5,3
indicvoices_ka_07.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.5556,0.5556,0.0,0.039,0.0649,0.0259,0.5556,0.0,0.0,1.0,11,-0.5,3
indicvoices_ka_05.wav,ka,S4,indicvoices,elevenlabs,targeted_flagged,0.5263,0.614,0.0877,0.1756,0.201,0.0254,0.614,0.0877,0.0,2.3,20,-0.5,3
indicvoices_ka_02.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.4516,0.4086,-0.043,0.2105,0.2076,-0.0029,0.4086,-0.043,0.0,0.0,34,-0.5,3
transaction-check-1-hinglish.m4a,hi-en,S3,personal,elevenlabs,full_transcript_fallback,0.4138,0.4138,0.0,0.4748,0.4748,-0.0,0.4138,0.0,0.0,0.0,26,-0.5,3
indicvoices_hi_06.wav,hi,S1,indicvoices,elevenlabs,full_transcript_fallback,0.3562,0.3562,0.0,0.3114,0.3114,0.0,0.3562,0.0,0.0,0.0,68,-0.5,3
gpay-fraud-1-hinglish.m4a,hi-en,S3,personal,elevenlabs,full_transcript_fallback,0.3333,0.2778,-0.0555,0.292,0.2802,-0.0118,0.2778,-0.0555,0.0,1.0,24,-0.5,3
transaction-check-2-hinglish.m4a,hi-en,S3,personal,elevenlabs,full_transcript_fallback,0.3333,0.3333,0.0,0.3913,0.3913,0.0,0.3333,0.0,0.0,0.0,21,-0.5,3
indicvoices_ka_01.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.3125,0.3125,0.0,0.1224,0.1224,0.0,0.3125,0.0,0.0,1.0,15,-0.5,3
indicvoices_ka_06.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.25,0.25,0.0,0.0448,0.0448,0.0,0.25,0.0,0.0,0.0,7,-0.5,3
indicvoices_hi_07.wav,hi,S1,indicvoices,elevenlabs,full_transcript_fallback,0.2143,0.2857,0.0714,0.129,0.1452,0.0162,0.2143,0.0,0.0714,0.0,14,-0.5,3
indicvoices_hi_04.wav,hi,S1,indicvoices,elevenlabs,full_transcript_fallback,0.1833,0.1833,0.0,0.0728,0.0728,0.0,0.1833,0.0,0.0,1.0,58,-0.5,3
indicvoices_hi_02.wav,hi,S1,indicvoices,elevenlabs,full_transcript_fallback,0.1304,0.1304,0.0,0.0556,0.0556,0.0,0.1304,0.0,0.0,0.0,23,-0.5,3
indicvoices_hi_03.wav,hi,S1,indicvoices,elevenlabs,full_transcript_fallback,0.129,0.129,0.0,0.1324,0.1324,0.0,0.129,0.0,0.0,0.0,30,-0.5,3
indicvoices_ka_03.wav,ka,S4,indicvoices,whisper,full_transcript_llm,1.0,1.0,0.0,0.749,0.7722,0.0232,,,,,,,
indicvoices_ka_05.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.8421,0.8421,0.0,0.5344,0.5344,0.0,,,,,,,
indicvoices_hi_07.wav,hi,S1,indicvoices,whisper,full_transcript_llm,0.7143,0.7143,0.0,0.4839,0.5,0.0161,,,,,,,
indicvoices_ka_07.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.6667,0.6667,0.0,0.1688,0.1429,-0.0259,,,,,,,
indicvoices_ka_06.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.625,0.625,0.0,0.1642,0.209,0.0448,,,,,,,
suspicious-transaction-1-Kannada.m4a,kn-en,S4,personal,whisper,full_transcript_llm,0.5405,0.5405,0.0,0.2241,0.2199,-0.0042,,,,,,,
indicvoices_ka_01.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.375,0.375,0.0,0.1429,0.1429,0.0,,,,,,,
indicvoices_ka_02.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.3548,0.3548,0.0,0.1096,0.1096,0.0,,,,,,,
debit-card-verification-1-Kannada.m4a,kn-en,S4,personal,whisper,full_transcript_llm,0.2857,0.2857,0.0,0.0476,0.034,-0.0136,,,,,,,
indicvoices_hi_04.wav,hi,S1,indicvoices,whisper,full_transcript_llm,0.2833,0.2833,0.0,0.1149,0.1149,0.0,,,,,,,
credit-card-application-1-hinglish.m4a,hi-en,S3,personal,whisper,full_transcript_llm,0.2727,0.2727,0.0,0.1322,0.1322,0.0,,,,,,,
loan-enquiry-1-Kannada.m4a,kn-en,S4,personal,whisper,full_transcript_llm,0.25,0.25,0.0,0.1138,0.1138,0.0,,,,,,,
indicvoices_ka_04.wav,ka,S4,indicvoices,whisper,full_transcript_llm,0.2222,0.2222,0.0,0.05,0.05,0.0,,,,,,,
indicvoices_hi_02.wav,hi,S1,indicvoices,whisper,full_transcript_llm,0.1304,0.1304,0.0,0.037,0.037,0.0,,,,,,,
indicvoices_hi_06.wav,hi,S1,indicvoices,whisper,full_transcript_llm,0.1096,0.1096,0.0,0.0714,0.0714,0.0,,,,,,,
